Date,Adj Close,,
07/09/2006,"5,858.12",,
06/09/2006,"5,929.27",,
05/09/2006,"5,981.69",,
04/09/2006,"5,986.64",,
01/09/2006,"5,949.15",,
31/08/2006,"5,906.13",,
30/08/2006,"5,929.34",,
29/08/2006,"5,888.28",,
25/08/2006,"5,878.59",,
24/08/2006,"5,869.09",,
23/08/2006,"5,860.04",,
22/08/2006,"5,902.64",,
21/08/2006,"5,915.24",,
18/08/2006,"5,903.36",,
17/08/2006,"5,900.42",,
16/08/2006,"5,896.60",,
15/08/2006,"5,897.88",,
14/08/2006,"5,870.87",,
11/08/2006,"5,820.13",,
10/08/2006,"5,823.38",,
09/08/2006,"5,860.47",,
08/08/2006,"5,818.09",,
07/08/2006,"5,828.80",,
04/08/2006,"5,889.40",,
03/08/2006,"5,838.35",,
02/08/2006,"5,932.11",,
01/08/2006,"5,880.84",,
31/07/2006,"5,928.33",,
28/07/2006,"5,974.92",,
27/07/2006,"5,929.49",,
26/07/2006,"5,877.10",,
25/07/2006,"5,851.16",,
24/07/2006,"5,833.87",,
21/07/2006,"5,719.74",,
20/07/2006,"5,770.88",,
19/07/2006,"5,777.96",,
18/07/2006,"5,681.70",,
17/07/2006,"5,700.97",,
14/07/2006,"5,707.62",,
13/07/2006,"5,765.02",,
12/07/2006,"5,860.56",,
11/07/2006,"5,857.30",,
10/07/2006,"5,896.90",,
07/07/2006,"5,888.86",,
06/07/2006,"5,890.03",,
05/07/2006,"5,826.68",,
04/07/2006,"5,883.53",,
03/07/2006,"5,884.44",,
30/06/2006,"5,833.42",,
29/06/2006,"5,791.48",,
28/06/2006,"5,678.58",,
27/06/2006,"5,652.25",,
26/06/2006,"5,681.24",,
23/06/2006,"5,692.14",,
22/06/2006,"5,684.08",,
21/06/2006,"5,665.03",,
20/06/2006,"5,658.19",,
19/06/2006,"5,626.09",,
16/06/2006,"5,597.44",,
15/06/2006,"5,619.28",,
14/06/2006,"5,506.82",,
13/06/2006,"5,519.63",,
12/06/2006,"5,620.86",,
09/06/2006,"5,655.20",,
08/06/2006,"5,562.94",,
07/06/2006,"5,706.29",,
06/06/2006,"5,669.79",,
05/06/2006,"5,762.13",,
02/06/2006,"5,764.62",,
01/06/2006,"5,749.69",,
31/05/2006,"5,723.81",,
30/05/2006,"5,652.02",,
26/05/2006,"5,791.00",,
25/05/2006,"5,677.70",,
24/05/2006,"5,587.06",,
23/05/2006,"5,678.71",,
22/05/2006,"5,532.72",,
19/05/2006,"5,657.37",,
18/05/2006,"5,671.59",,
17/05/2006,"5,675.49",,
16/05/2006,"5,846.18",,
15/05/2006,"5,841.27",,
12/05/2006,"5,912.11",,
11/05/2006,"6,042.03",,
10/05/2006,"6,083.39",,
09/05/2006,"6,105.64",,
08/05/2006,"6,067.10",,
05/05/2006,"6,091.74",,
04/05/2006,"6,036.89",,
03/05/2006,"6,010.02",,
02/05/2006,"6,082.07",,
28/04/2006,"6,023.14",,
27/04/2006,"6,060.03",,
26/04/2006,"6,104.34",,
25/04/2006,"6,086.62",,
24/04/2006,"6,098.71",,
21/04/2006,"6,132.74",,
20/04/2006,"6,081.41",,
19/04/2006,"6,089.77",,
18/04/2006,"6,044.13",,
13/04/2006,"6,029.37",,
12/04/2006,"6,000.84",,
11/04/2006,"6,016.49",,
10/04/2006,"6,066.98",,
07/04/2006,"6,026.11",,
06/04/2006,"6,045.65",,
05/04/2006,"6,044.09",,
04/04/2006,"6,004.69",,
03/04/2006,"6,024.28",,
31/03/2006,"5,964.57",,
30/03/2006,"6,015.25",,
29/03/2006,"5,959.22",,
28/03/2006,"5,935.68",,
27/03/2006,"5,972.18",,
24/03/2006,"6,036.27",,
23/03/2006,"5,990.06",,
22/03/2006,"6,007.46",,
21/03/2006,"5,991.25",,
20/03/2006,"5,991.73",,
17/03/2006,"5,999.41",,
16/03/2006,"5,993.25",,
15/03/2006,"5,965.06",,
14/03/2006,"5,950.59",,
13/03/2006,"5,952.84",,
10/03/2006,"5,907.87",,
09/03/2006,"5,855.89",,
08/03/2006,"5,812.94",,
07/03/2006,"5,857.37",,
06/03/2006,"5,897.82",,
